"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2020","2,818.09","2,792.37","2,842.74","2,778.86","30.98B","1.25%"
"Feb 04, 2020","2,783.29","2,685.27","2,786.16","2,685.27","36.40B","1.34%"
"Feb 03, 2020","2,746.61","2,716.70","2,766.58","2,716.70","21.59B","-7.72%"
"Jan 23, 2020","2,976.53","3,037.95","3,045.04","2,955.35","27.28B","-2.75%"
"Jan 22, 2020","3,060.75","3,038.49","3,069.25","3,006.27","22.39B","0.28%"
"Jan 21, 2020","3,052.14","3,085.79","3,085.79","3,051.23","23.48B","-1.41%"
"Jan 20, 2020","3,095.79","3,082.11","3,096.31","3,070.48","21.05B","0.66%"
"Jan 17, 2020","3,075.50","3,081.46","3,091.95","3,067.25","19.03B","0.05%"
"Jan 16, 2020","3,074.08","3,095.73","3,096.37","3,070.88","20.34B","-0.52%"
"Jan 15, 2020","3,090.04","3,103.17","3,107.94","3,082.04","20.23B","-0.54%"
"Jan 14, 2020","3,106.82","3,120.67","3,127.17","3,105.60","23.00B","-0.28%"
"Jan 13, 2020","3,115.57","3,091.49","3,115.57","3,075.38","21.06B","0.75%"
"Jan 10, 2020","3,092.29","3,102.29","3,105.22","3,081.40","21.04B","-0.08%"
"Jan 09, 2020","3,094.88","3,082.64","3,097.33","3,080.13","24.34B","0.91%"
"Jan 08, 2020","3,066.89","3,094.24","3,094.24","3,059.13","29.79B","-1.22%"
"Jan 07, 2020","3,104.80","3,085.49","3,105.45","3,084.33","27.66B","0.69%"
"Jan 06, 2020","3,083.41","3,070.91","3,107.20","3,065.31","31.26B","-0.01%"
"Jan 03, 2020","3,083.79","3,089.02","3,093.82","3,074.52","26.15B","-0.05%"
"Jan 02, 2020","3,085.20","3,066.34","3,098.10","3,066.34","29.25B","1.15%"
"Dec 31, 2019","3,050.12","3,036.39","3,051.68","3,030.51","21.74B","0.33%"
"Dec 30, 2019","3,040.02","2,998.17","3,041.40","2,983.34","24.81B","1.16%"
"Dec 27, 2019","3,005.04","3,006.85","3,036.11","3,003.63","24.71B","-0.08%"
"Dec 26, 2019","3,007.35","2,981.25","3,007.35","2,980.40","18.24B","0.85%"
"Dec 25, 2019","2,981.88","2,980.43","2,988.29","2,970.66","17.57B","-0.03%"
"Dec 24, 2019","2,982.68","2,965.83","2,983.82","2,960.68","16.30B","0.67%"
"Dec 23, 2019","2,962.75","2,999.04","3,009.34","2,960.43","20.57B","-1.40%"
"Dec 20, 2019","3,004.94","3,019.64","3,027.48","3,002.26","21.51B","-0.40%"
"Dec 19, 2019","3,017.07","3,017.15","3,021.42","3,007.99","20.86B","0.00%"
"Dec 18, 2019","3,017.04","3,021.47","3,033.23","3,011.72","24.41B","-0.18%"
"Dec 17, 2019","3,022.42","2,985.26","3,039.38","2,982.50","29.30B","1.27%"
"Dec 16, 2019","2,984.39","2,970.97","2,984.64","2,958.71","21.19B","0.56%"
"Dec 13, 2019","2,967.68","2,937.78","2,969.98","2,935.85","21.20B","1.78%"
"Dec 12, 2019","2,915.70","2,926.34","2,926.34","2,913.48","15.18B","-0.30%"
"Dec 11, 2019","2,924.42","2,922.60","2,928.26","2,915.00","16.55B","0.24%"
"Dec 10, 2019","2,917.32","2,908.94","2,919.20","2,902.79","17.01B","0.10%"
"Dec 09, 2019","2,914.48","2,914.46","2,919.59","2,905.25","16.08B","0.08%"
"Dec 06, 2019","2,912.01","2,902.28","2,912.01","2,894.75","13.41B","0.43%"
"Dec 05, 2019","2,899.47","2,886.52","2,902.00","2,885.08","14.32B","0.74%"
"Dec 04, 2019","2,878.12","2,876.91","2,882.50","2,869.42","12.55B","-0.23%"
"Dec 03, 2019","2,884.70","2,869.88","2,884.86","2,857.32","12.38B","0.31%"
"Dec 02, 2019","2,875.81","2,874.45","2,888.89","2,870.24","12.88B","0.13%"
"Nov 29, 2019","2,871.98","2,885.97","2,892.39","2,858.58","12.26B","-0.61%"
"Nov 28, 2019","2,889.69","2,902.36","2,909.84","2,883.43","11.95B","-0.47%"
"Nov 27, 2019","2,903.19","2,905.40","2,914.49","2,893.42","13.39B","-0.13%"
"Nov 26, 2019","2,907.06","2,912.52","2,915.04","2,897.93","17.00B","0.03%"
"Nov 25, 2019","2,906.17","2,885.61","2,906.61","2,880.65","17.86B","0.72%"
"Nov 22, 2019","2,885.29","2,906.24","2,925.02","2,873.99","15.86B","-0.63%"
"Nov 21, 2019","2,903.64","2,902.55","2,910.36","2,891.53","12.35B","-0.25%"
"Nov 20, 2019","2,911.05","2,928.11","2,930.49","2,907.42","13.74B","-0.78%"
"Nov 19, 2019","2,933.99","2,904.28","2,933.99","2,902.86","13.54B","0.85%"
"Nov 18, 2019","2,909.20","2,889.55","2,911.38","2,884.09","12.44B","0.62%"
"Nov 15, 2019","2,891.34","2,911.35","2,917.83","2,891.20","13.55B","-0.64%"
"Nov 14, 2019","2,909.87","2,907.74","2,917.37","2,899.62","12.91B","0.16%"
"Nov 13, 2019","2,905.24","2,913.02","2,913.86","2,893.97","12.98B","-0.33%"
"Nov 12, 2019","2,914.82","2,913.00","2,918.30","2,891.51","12.97B","0.17%"
"Nov 11, 2019","2,909.97","2,949.96","2,949.96","2,906.77","15.79B","-1.83%"
"Nov 08, 2019","2,964.18","2,993.98","2,998.76","2,962.84","14.97B","-0.49%"
"Nov 07, 2019","2,978.71","2,978.15","2,988.95","2,969.12","13.70B","0.00%"
"Nov 06, 2019","2,978.60","2,992.04","2,995.56","2,969.72","16.53B","-0.43%"
"Nov 05, 2019","2,991.56","2,977.70","3,008.31","2,968.03","17.99B","0.54%"
"Nov 04, 2019","2,975.49","2,964.58","2,983.06","2,964.58","16.72B","0.58%"
"Nov 01, 2019","2,958.20","2,924.34","2,959.83","2,917.15","15.99B","0.99%"
