"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 04, 2020","18,492.66","18,511.91","18,584.12","18,328.74","-","0.33%"
"Mar 03, 2020","18,431.82","18,557.12","18,627.74","18,386.88","-","-0.14%"
"Mar 02, 2020","18,458.05","18,150.82","18,526.51","18,150.82","-","1.85%"
"Feb 28, 2020","18,122.00","18,238.50","18,311.37","18,017.05","-","-2.74%"
"Feb 27, 2020","18,633.32","18,357.93","18,697.79","18,315.37","-","1.03%"
"Feb 26, 2020","18,442.50","18,229.12","18,530.46","18,228.73","-","-0.72%"
"Feb 25, 2020","18,576.00","18,460.84","18,588.44","18,380.78","-","0.21%"
"Feb 24, 2020","18,537.07","18,778.07","18,788.26","18,520.88","-","-2.17%"
"Feb 21, 2020","18,948.55","19,020.53","19,070.04","18,886.98","-","-1.03%"
"Feb 20, 2020","19,145.73","19,195.19","19,197.02","18,952.37","-","0.13%"
"Feb 19, 2020","19,120.84","18,969.56","19,170.31","18,958.62","-","0.83%"
"Feb 18, 2020","18,963.98","19,089.47","19,127.29","18,958.54","-","-1.45%"
"Feb 17, 2020","19,242.97","19,033.49","19,333.39","19,033.49","-","0.94%"
"Feb 14, 2020","19,064.30","18,985.47","19,177.81","18,982.54","-","0.09%"
"Feb 13, 2020","19,047.45","19,162.35","19,185.00","19,015.19","-","-0.35%"
"Feb 12, 2020","19,114.90","19,008.97","19,193.96","18,938.36","-","0.89%"
"Feb 11, 2020","18,945.95","18,828.54","19,020.56","18,784.24","-","1.49%"
"Feb 10, 2020","18,667.64","18,565.15","18,711.44","18,497.75","-","-0.80%"
"Feb 07, 2020","18,819.10","18,763.43","18,837.65","18,670.70","-","-0.45%"
"Feb 06, 2020","18,903.62","18,674.18","18,987.25","18,541.59","-","2.70%"
"Feb 05, 2020","18,406.71","18,469.94","18,518.75","18,285.89","-","0.46%"
"Feb 04, 2020","18,321.62","18,093.55","18,367.41","18,065.51","-","1.70%"
"Feb 03, 2020","18,015.19","17,886.56","18,184.37","17,845.10","-","0.18%"
"Jan 31, 2020","17,982.73","18,312.86","18,368.29","17,972.26","-","-0.67%"
"Jan 30, 2020","18,103.26","18,543.68","18,626.22","18,006.89","-","-2.81%"
"Jan 29, 2020","18,626.87","18,619.39","18,811.42","18,569.00","-","-3.25%"
"Jan 27, 2020","19,253.13","19,253.13","19,253.13","19,253.13","-","0.00%"
"Jan 24, 2020","19,253.13","19,208.40","19,278.22","19,091.42","-","0.15%"
"Jan 23, 2020","19,223.93","19,440.25","19,458.71","19,043.16","-","-2.33%"
"Jan 22, 2020","19,683.21","19,426.82","19,737.40","19,277.37","-","1.99%"
