"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 31, 2020","89,643.71","89,278.67","90,268.60","88,641.93","1.93B","1.80%"
"Mar 30, 2020","88,059.46","87,937.02","88,811.86","86,815.14","1.43B","-0.07%"
"Mar 27, 2020","88,125.04","91,833.88","92,299.34","88,125.04","2.11B","-3.72%"
"Mar 26, 2020","91,527.59","88,959.88","91,807.06","88,481.22","2.39B","2.77%"
"Mar 25, 2020","89,063.03","90,518.91","91,959.49","88,123.29","2.64B","-0.25%"
"Mar 24, 2020","89,286.22","87,571.40","89,638.33","87,050.38","1.94B","5.98%"
"Mar 23, 2020","84,246.17","83,043.97","86,587.16","82,528.45","1.79B","-1.81%"
"Mar 20, 2020","85,795.79","87,217.14","88,093.46","85,005.23","1.61B","0.70%"
"Mar 19, 2020","85,195.39","84,940.28","86,879.00","84,071.97","1.77B","-0.45%"
"Mar 18, 2020","85,576.61","84,776.51","87,824.55","84,302.70","1.67B","-1.38%"
"Mar 17, 2020","86,777.69","88,923.35","88,948.63","81,936.40","2.07B","-1.26%"
"Mar 16, 2020","87,888.34","92,263.97","92,263.97","86,853.34","1.39B","-8.07%"
"Mar 13, 2020","95,605.22","93,657.50","98,855.54","91,644.28","2.26B","2.10%"
"Mar 12, 2020","93,639.50","98,448.16","99,026.93","92,853.67","1.74B","-7.26%"
"Mar 11, 2020","100,966.27","100,416.41","102,838.57","98,805.86","1.86B","-0.10%"
"Mar 10, 2020","101,062.51","106,021.05","106,857.20","101,022.33","1.82B","-2.38%"
"Mar 09, 2020","103,524.02","106,539.89","106,585.36","101,995.06","1.59B","-5.54%"
"Mar 06, 2020","109,600.53","111,653.72","112,345.07","108,774.74","1.50B","-1.98%"
"Mar 05, 2020","111,815.08","112,504.56","113,106.57","111,403.44","1.56B","0.93%"
"Mar 04, 2020","110,785.38","110,959.21","112,898.65","110,678.33","2.19B","-0.38%"
"Mar 03, 2020","111,207.27","108,997.50","111,207.27","108,881.41","1.84B","3.63%"
"Mar 02, 2020","107,309.87","108,379.28","109,405.34","106,425.26","1.70B","1.24%"
"Feb 28, 2020","105,993.65","99,331.99","107,760.17","99,331.99","1.79B","-4.01%"
"Feb 27, 2020","110,418.37","113,975.54","114,463.57","110,418.37","2.54B","-4.13%"
"Feb 26, 2020","115,171.27","114,281.84","115,352.98","113,146.53","2.28B","0.71%"
"Feb 25, 2020","114,364.53","115,626.05","115,991.78","113,850.42","2.51B","-0.37%"
"Feb 24, 2020","114,789.21","114,984.40","114,984.40","113,462.55","1.97B","-1.75%"
"Feb 21, 2020","116,829.39","115,089.45","117,415.25","114,453.40","2.60B","1.03%"
"Feb 20, 2020","115,642.04","119,288.90","119,350.34","114,920.86","2.65B","-2.98%"
"Feb 19, 2020","119,196.09","120,036.23","120,464.81","118,570.59","2.08B","-0.32%"
"Feb 18, 2020","119,574.10","120,451.43","120,451.43","119,144.88","2.57B","-1.01%"
"Feb 17, 2020","120,791.86","120,981.96","121,242.40","120,561.20","2.56B","0.53%"
"Feb 14, 2020","120,151.44","121,081.97","121,580.54","120,049.25","2.31B","-0.32%"
"Feb 13, 2020","120,540.53","120,000.39","120,811.62","119,472.47","2.21B","0.41%"
"Feb 12, 2020","120,048.74","119,940.00","121,369.76","119,229.22","3.00B","0.21%"
"Feb 11, 2020","119,797.82","119,504.74","120,077.53","117,450.92","2.69B","1.23%"
"Feb 10, 2020","118,341.52","120,459.39","121,189.73","116,647.79","2.79B","-2.21%"
"Feb 07, 2020","121,015.14","122,476.31","122,812.20","120,912.76","2.14B","-1.04%"
"Feb 06, 2020","122,283.87","122,712.08","123,844.96","121,991.96","2.66B","-0.03%"
"Feb 05, 2020","122,320.77","122,416.65","123,629.32","121,906.36","2.82B","0.15%"
"Feb 04, 2020","122,136.17","120,476.43","122,220.10","120,159.22","2.36B","2.43%"
"Feb 03, 2020","119,242.80","119,436.50","119,784.11","118,761.62","2.38B","0.09%"
"Jan 31, 2020","119,140.08","120,096.24","120,317.93","119,140.08","2.69B","-0.59%"
"Jan 30, 2020","119,849.65","119,230.86","119,871.80","118,255.89","2.10B","0.13%"
"Jan 29, 2020","119,689.48","120,585.88","120,740.70","119,505.76","2.25B","-0.09%"
"Jan 28, 2020","119,801.63","120,816.15","121,109.42","119,403.17","2.31B","-0.29%"
"Jan 27, 2020","120,149.70","120,711.70","121,673.64","120,000.24","2.36B","-1.63%"
"Jan 24, 2020","122,141.75","123,693.69","123,936.26","120,761.35","2.37B","-0.33%"
"Jan 23, 2020","122,540.22","122,392.42","123,457.39","122,188.16","2.16B","-0.17%"
"Jan 22, 2020","122,747.08","124,215.90","124,536.63","122,368.67","2.61B","-0.65%"
"Jan 21, 2020","123,556.10","121,886.80","123,803.96","121,504.06","2.80B","0.76%"
"Jan 20, 2020","122,619.77","121,879.47","122,925.97","121,879.47","2.28B","0.94%"
"Jan 17, 2020","121,474.75","121,619.00","121,874.29","120,596.94","2.09B","0.39%"
"Jan 16, 2020","121,000.85","121,377.89","122,482.43","120,763.09","3.21B","0.05%"
"Jan 15, 2020","120,938.78","121,232.62","121,804.10","120,442.41","3.38B","-0.40%"
"Jan 14, 2020","121,423.34","120,392.65","121,504.39","119,574.71","2.57B","0.98%"
"Jan 13, 2020","120,249.03","119,595.16","120,899.69","119,595.16","2.88B","1.34%"
"Jan 10, 2020","118,663.70","118,250.73","119,140.15","117,701.09","3.28B","0.57%"
"Jan 09, 2020","117,990.45","115,236.49","118,144.62","115,236.49","3.43B","4.53%"
"Jan 08, 2020","112,876.05","110,960.81","113,342.43","110,745.62","2.33B","0.25%"
"Jan 07, 2020","112,599.92","112,594.00","113,387.24","112,347.58","1.78B","1.07%"
"Jan 06, 2020","111,412.70","112,532.38","112,973.08","111,211.98","2.04B","-2.00%"
"Jan 03, 2020","113,684.01","115,142.77","115,570.89","112,617.20","2.93B","-1.94%"
"Jan 02, 2020","115,932.05","114,902.51","115,932.05","114,565.91","2.41B","1.32%"
"Dec 31, 2019","114,424.96","115,072.05","115,312.01","114,418.57","2.23B","-0.29%"
"Dec 30, 2019","114,753.97","114,057.03","114,961.51","114,057.03","2.65B","0.94%"
"Dec 27, 2019","113,683.61","114,035.70","114,290.81","113,380.66","2.62B","0.03%"
"Dec 26, 2019","113,653.02","113,514.17","114,534.75","113,166.18","2.10B","0.29%"
"Dec 25, 2019","113,329.22","113,397.29","113,584.91","113,062.75","1.98B","0.16%"
"Dec 24, 2019","113,153.46","112,839.70","113,395.45","112,783.03","2.65B","0.87%"
"Dec 23, 2019","112,175.19","111,479.29","112,177.84","111,266.18","2.91B","0.90%"
"Dec 20, 2019","111,176.75","111,040.82","111,636.33","110,858.91","2.17B","0.52%"
"Dec 19, 2019","110,599.43","110,853.16","111,274.25","110,485.88","1.62B","0.02%"
"Dec 18, 2019","110,574.68","110,563.36","110,848.19","110,105.80","2.41B","-0.45%"
"Dec 17, 2019","111,073.69","111,495.02","111,955.68","110,937.43","2.52B","-0.05%"
"Dec 16, 2019","111,125.51","110,673.98","111,443.40","110,234.45","2.17B","0.59%"
"Dec 13, 2019","110,476.59","111,010.65","111,910.40","110,017.97","2.56B","0.33%"
"Dec 12, 2019","110,114.66","108,555.89","110,114.66","108,555.89","2.05B","2.03%"
"Dec 11, 2019","107,921.68","108,030.51","108,218.20","107,464.85","1.62B","-0.08%"
"Dec 10, 2019","108,011.45","108,912.38","109,378.39","107,617.84","2.07B","-0.71%"
"Dec 09, 2019","108,786.06","108,896.49","109,124.74","108,138.53","2.32B","-0.08%"
"Dec 06, 2019","108,869.14","109,008.91","109,315.16","108,352.00","2.16B","0.19%"
"Dec 05, 2019","108,658.98","108,260.07","109,031.94","108,151.34","2.24B","0.89%"
"Dec 04, 2019","107,701.32","107,254.48","107,794.78","106,701.59","1.93B","0.85%"
"Dec 03, 2019","106,789.87","107,873.01","108,777.19","106,789.87","2.56B","-1.12%"
"Dec 02, 2019","108,004.30","107,350.11","108,210.24","107,318.05","2.19B","1.03%"
"Nov 29, 2019","106,903.68","107,300.11","107,669.69","106,564.41","1.77B","-0.21%"
"Nov 28, 2019","107,126.18","106,084.66","107,213.15","106,015.84","1.44B","1.21%"
"Nov 27, 2019","105,844.17","105,935.82","106,430.84","105,394.58","1.75B","-0.13%"
"Nov 26, 2019","105,983.14","105,568.14","106,162.31","104,718.29","2.02B","0.57%"
