"Date","Price","Open","High","Low","Vol.","Change %"
"May 08, 2020","17,439.30","17,416.29","17,461.62","17,254.41","242.32M","1.13%"
"May 07, 2020","17,245.04","17,255.87","17,362.61","17,093.81","360.98M","0.50%"
"May 06, 2020","17,159.31","17,368.27","17,500.04","17,145.54","330.05M","-1.31%"
"May 05, 2020","17,387.38","17,288.82","17,389.78","17,082.28","413.82M","2.06%"
"May 04, 2020","17,035.61","17,156.75","17,344.68","17,035.61","430.63M","-3.70%"
"Apr 30, 2020","17,690.49","18,209.12","18,302.85","17,654.66","597.32M","-2.09%"
"Apr 29, 2020","18,067.29","17,615.96","18,075.65","17,608.52","477.98M","2.21%"
"Apr 28, 2020","17,677.15","17,428.00","17,940.84","17,413.00","496.79M","1.71%"
"Apr 27, 2020","17,380.21","17,313.48","17,380.21","17,163.85","307.77M","3.09%"
"Apr 24, 2020","16,858.89","16,640.17","17,155.11","16,640.17","349.28M","-0.89%"
"Apr 23, 2020","17,011.11","16,925.36","17,145.44","16,778.15","392.98M","1.47%"
"Apr 22, 2020","16,765.28","16,615.00","16,770.44","16,555.34","347.50M","1.91%"
"Apr 21, 2020","16,450.85","16,811.87","16,934.52","16,450.85","401.99M","-3.59%"
"Apr 20, 2020","17,064.14","17,144.35","17,155.39","16,785.73","339.57M","0.05%"
"Apr 17, 2020","17,055.47","17,152.83","17,307.65","16,963.93","469.22M","1.71%"
"Apr 16, 2020","16,768.14","17,003.45","17,160.91","16,729.63","453.15M","0.29%"
"Apr 15, 2020","16,719.07","17,454.94","17,543.27","16,719.07","536.65M","-4.78%"
"Apr 14, 2020","17,558.43","17,821.88","17,831.01","17,507.07","443.87M","-0.36%"
"Apr 09, 2020","17,621.62","17,685.56","17,756.01","17,360.48","553.98M","1.39%"
"Apr 08, 2020","17,380.82","17,212.38","17,405.79","17,196.03","476.31M","-0.18%"
"Apr 07, 2020","17,411.72","17,587.81","17,887.12","17,177.73","679.85M","2.19%"
"Apr 06, 2020","17,039.31","16,769.13","17,053.91","16,764.81","528.13M","4.00%"
"Apr 03, 2020","16,384.35","16,742.07","16,791.08","16,384.35","547.57M","-2.67%"
"Apr 02, 2020","16,834.03","16,660.09","16,878.30","16,413.72","580.52M","1.75%"
"Apr 01, 2020","16,544.97","16,600.06","16,845.15","16,500.42","515.03M","-2.97%"
"Mar 31, 2020","17,050.94","17,096.96","17,292.15","16,694.89","698.06M","1.06%"
"Mar 30, 2020","16,872.41","16,855.94","16,925.07","16,312.90","551.31M","0.30%"
"Mar 27, 2020","16,822.59","17,039.45","17,283.44","16,666.74","590.90M","-3.15%"
"Mar 26, 2020","17,369.38","16,876.51","17,369.38","16,834.79","712.23M","0.73%"
"Mar 25, 2020","17,243.68","17,246.83","17,830.36","16,581.76","906.28M","1.74%"
"Mar 24, 2020","16,948.60","15,977.53","16,948.60","15,969.74","847.37M","8.93%"
"Mar 23, 2020","15,559.80","15,318.26","15,788.70","15,091.98","768.02M","-1.09%"
"Mar 20, 2020","15,731.85","15,772.98","16,180.17","15,616.90","1.22B","1.71%"
"Mar 19, 2020","15,466.97","15,417.20","15,844.08","15,038.08","1.02B","2.29%"
"Mar 18, 2020","15,120.48","14,985.81","15,438.23","14,791.72","796.19M","-1.27%"
"Mar 17, 2020","15,314.77","15,420.49","15,809.66","14,695.72","1.04B","2.23%"
"Mar 16, 2020","14,980.34","15,697.47","15,699.27","14,153.09","1.22B","-6.10%"
"Mar 13, 2020","15,954.29","15,108.11","17,545.44","15,106.60","1.27B","7.12%"
"Mar 12, 2020","14,894.44","17,654.04","17,659.86","14,894.44","1.54B","-16.92%"
"Mar 11, 2020","17,928.64","18,171.76","18,410.29","17,674.69","916.16M","0.33%"
"Mar 10, 2020","17,870.18","18,653.90","19,174.77","17,771.88","1.10B","-3.28%"
"Mar 09, 2020","18,475.91","20,780.87","20,780.87","18,346.40","1.27B","-11.17%"
"Mar 06, 2020","20,799.89","20,986.89","21,151.36","20,624.42","864.92M","-3.50%"
"Mar 05, 2020","21,554.88","22,011.67","22,034.94","21,362.09","772.85M","-1.78%"
"Mar 04, 2020","21,946.03","21,739.80","22,204.01","21,499.93","724.37M","0.91%"
"Mar 03, 2020","21,748.20","22,116.28","22,340.46","21,651.36","799.97M","0.43%"
"Mar 02, 2020","21,655.09","22,333.17","22,361.13","21,118.83","924.41M","-1.50%"
"Feb 28, 2020","21,984.21","22,058.99","22,334.72","21,697.94","1.05B","-3.58%"
"Feb 27, 2020","22,799.37","22,968.63","23,077.82","22,479.60","781.15M","-2.66%"
"Feb 26, 2020","23,422.54","22,961.01","23,599.85","22,637.93","737.76M","1.44%"
"Feb 25, 2020","23,090.44","23,585.59","23,630.43","23,046.19","664.95M","-1.44%"
"Feb 24, 2020","23,427.19","23,918.60","24,005.21","23,255.26","977.13M","-5.43%"
"Feb 21, 2020","24,773.15","24,979.32","25,129.98","24,670.24","638.71M","-1.22%"
"Feb 20, 2020","25,080.16","25,414.77","25,419.96","25,080.16","445.15M","-1.56%"
"Feb 19, 2020","25,477.55","25,352.69","25,483.05","25,271.72","464.70M","1.01%"
"Feb 18, 2020","25,223.51","24,985.71","25,389.46","24,969.75","737.04M","0.41%"
"Feb 17, 2020","25,120.54","24,961.76","25,120.54","24,903.00","315.46M","1.02%"
"Feb 14, 2020","24,867.01","24,942.10","24,983.12","24,831.96","341.38M","-0.10%"
"Feb 13, 2020","24,892.15","24,769.05","24,892.15","24,588.46","526.07M","0.12%"
"Feb 12, 2020","24,861.28","24,738.21","24,901.59","24,734.87","462.48M","0.70%"
"Feb 11, 2020","24,688.89","24,616.66","24,762.66","24,533.75","405.69M","0.74%"
"Feb 10, 2020","24,507.70","24,437.06","24,585.13","24,388.88","297.20M","0.12%"
"Feb 07, 2020","24,478.32","24,465.18","24,523.42","24,371.83","411.44M","-0.05%"
"Feb 06, 2020","24,490.35","24,347.99","24,513.81","24,338.09","531.89M","1.05%"
"Feb 05, 2020","24,236.63","23,815.72","24,270.46","23,745.98","564.24M","1.64%"
"Feb 04, 2020","23,844.85","23,572.77","23,900.76","23,542.06","479.89M","1.64%"
"Feb 03, 2020","23,460.01","23,297.09","23,466.34","23,218.72","363.18M","0.96%"
"Jan 31, 2020","23,237.03","23,863.15","23,873.05","23,207.90","557.66M","-2.29%"
"Jan 30, 2020","23,781.10","23,892.30","23,982.66","23,687.64","454.73M","-1.59%"
"Jan 29, 2020","24,164.73","24,052.97","24,197.66","23,969.03","356.52M","0.57%"
"Jan 28, 2020","24,027.63","23,544.56","24,027.63","23,429.19","428.29M","2.61%"
"Jan 27, 2020","23,416.13","23,713.12","23,977.56","23,384.04","506.93M","-2.31%"
"Jan 24, 2020","23,969.13","23,848.46","24,083.13","23,848.46","368.59M","1.11%"
"Jan 23, 2020","23,707.05","23,716.43","23,901.15","23,611.20","379.43M","0.00%"
"Jan 22, 2020","23,706.29","23,887.83","23,906.79","23,680.40","424.39M","-0.58%"
"Jan 21, 2020","23,845.28","23,858.03","23,860.16","23,645.30","332.90M","-0.65%"
"Jan 20, 2020","24,002.45","24,032.65","24,084.94","23,973.43","218.20M","-0.57%"
"Jan 17, 2020","24,141.07","24,042.60","24,168.66","24,010.86","319.93M","0.84%"
"Jan 16, 2020","23,940.41","23,861.55","23,960.79","23,760.30","361.88M","0.74%"
"Jan 15, 2020","23,763.86","23,902.76","23,931.80","23,719.45","341.18M","-0.69%"
"Jan 14, 2020","23,928.21","23,931.94","23,947.97","23,706.43","350.71M","0.13%"
"Jan 13, 2020","23,896.59","24,061.45","24,061.45","23,829.41","340.84M","-0.52%"
"Jan 10, 2020","24,021.40","24,061.43","24,146.55","23,966.36","326.01M","0.02%"
"Jan 09, 2020","24,016.70","23,979.65","24,078.29","23,963.51","430.64M","0.77%"
"Jan 08, 2020","23,832.02","23,550.61","23,893.01","23,480.62","472.51M","0.46%"
"Jan 07, 2020","23,723.38","23,688.25","23,793.67","23,635.90","306.34M","0.60%"
"Jan 06, 2020","23,581.29","23,565.92","23,607.54","23,265.21","349.16M","-0.51%"
"Jan 03, 2020","23,702.35","23,709.90","23,759.89","23,516.81","325.92M","-0.56%"
"Jan 02, 2020","23,836.26","23,606.97","23,861.99","23,571.59","264.54M","1.40%"
"Dec 30, 2019","23,506.37","23,712.11","23,735.93","23,506.37","212.21M","-1.06%"
"Dec 27, 2019","23,757.60","23,867.96","23,898.60","23,732.27","274.19M","-0.59%"
"Dec 23, 2019","23,898.42","23,918.55","23,941.26","23,845.21","229.77M","-0.44%"
"Dec 20, 2019","24,003.64","23,842.28","24,003.64","23,836.96","793.56M","1.24%"
"Dec 19, 2019","23,708.94","23,647.05","23,710.17","23,583.12","374.67M","0.34%"
"Dec 18, 2019","23,628.87","23,645.91","23,738.05","23,627.21","311.23M","-0.01%"
"Dec 17, 2019","23,630.77","23,535.62","23,716.58","23,481.76","343.98M","0.45%"
"Dec 16, 2019","23,524.76","23,436.29","23,549.60","23,388.12","276.51M","0.84%"
"Dec 13, 2019","23,329.33","23,713.61","23,727.56","23,272.24","478.94M","-0.26%"
"Dec 12, 2019","23,390.95","23,229.13","23,487.72","23,161.14","413.35M","1.02%"
"Dec 11, 2019","23,155.64","23,101.34","23,202.62","23,038.08","283.42M","0.14%"
"Dec 10, 2019","23,122.82","22,935.88","23,141.46","22,789.78","298.17M","0.72%"
"Dec 09, 2019","22,956.90","23,214.72","23,233.11","22,855.96","302.72M","-0.97%"
"Dec 06, 2019","23,182.72","23,055.17","23,219.63","22,940.32","294.14M","0.93%"
"Dec 05, 2019","22,969.40","23,049.47","23,190.81","22,946.44","298.65M","-0.28%"
"Dec 04, 2019","23,034.20","22,736.58","23,035.66","22,732.80","324.50M","1.31%"
"Dec 03, 2019","22,736.52","22,845.38","22,987.19","22,581.12","367.76M","0.03%"
"Dec 02, 2019","22,728.59","23,297.68","23,402.95","22,698.17","452.95M","-2.28%"
"Nov 29, 2019","23,259.33","23,267.74","23,425.30","23,206.91","265.98M","-0.36%"
"Nov 28, 2019","23,342.42","23,401.35","23,481.09","23,270.48","237.62M","-0.61%"
"Nov 27, 2019","23,485.03","23,624.06","23,651.44","23,451.85","332.17M","-0.26%"
"Nov 26, 2019","23,546.58","23,475.62","23,570.10","23,359.16","473.71M","0.34%"
"Nov 25, 2019","23,467.25","23,398.04","23,496.51","23,383.64","297.10M","0.89%"
"Nov 22, 2019","23,259.80","23,325.33","23,461.58","23,254.67","372.92M","-0.09%"
